model,phase,hidden_size,num_layers,learning_rate,dropout,batch_size,val_r2
RNN,fine,256,3,0.001,0.0,32,0.8527
RNN,fine,256,3,0.001,0.0,64,0.8633
RNN,fine,256,3,0.001,0.2,32,0.8692
RNN,fine,256,3,0.001,0.2,64,0.8596
RNN,fine,256,3,0.001,0.3,32,0.8633
RNN,fine,256,3,0.001,0.3,64,0.8515
RNN,fine,256,3,0.0005,0.0,32,0.8762
RNN,fine,256,3,0.0005,0.0,64,0.8785
RNN,fine,256,3,0.0005,0.2,32,0.8682
RNN,fine,256,3,0.0005,0.2,64,0.8722
RNN,fine,256,3,0.0005,0.3,32,0.8811
RNN,fine,256,3,0.0005,0.3,64,0.8723
RNN,fine,256,3,0.0001,0.0,32,0.8796
RNN,fine,256,3,0.0001,0.0,64,0.8802
RNN,fine,256,3,0.0001,0.2,32,0.8822
RNN,fine,256,3,0.0001,0.2,64,0.8746
RNN,fine,256,3,0.0001,0.3,32,0.8791
RNN,fine,256,3,0.0001,0.3,64,0.8786
LSTM,fine,256,2,0.001,0.0,32,0.8119
LSTM,fine,256,2,0.001,0.0,64,0.8286
LSTM,fine,256,2,0.001,0.2,32,0.8393
LSTM,fine,256,2,0.001,0.2,64,0.8147
LSTM,fine,256,2,0.001,0.3,32,0.8432
LSTM,fine,256,2,0.001,0.3,64,0.8233
LSTM,fine,256,2,0.0005,0.0,32,0.8244
LSTM,fine,256,2,0.0005,0.0,64,0.8152
LSTM,fine,256,2,0.0005,0.2,32,0.8068
LSTM,fine,256,2,0.0005,0.2,64,0.7907
LSTM,fine,256,2,0.0005,0.3,32,0.774
LSTM,fine,256,2,0.0005,0.3,64,0.767
LSTM,fine,256,2,0.0001,0.0,32,0.7455
LSTM,fine,256,2,0.0001,0.0,64,0.7291
LSTM,fine,256,2,0.0001,0.2,32,0.7469
LSTM,fine,256,2,0.0001,0.2,64,0.7312
LSTM,fine,256,2,0.0001,0.3,32,0.7652
LSTM,fine,256,2,0.0001,0.3,64,0.7318
GRU,fine,128,2,0.001,0.0,32,0.8404
GRU,fine,128,2,0.001,0.0,64,0.8274
GRU,fine,128,2,0.001,0.2,32,0.8269
GRU,fine,128,2,0.001,0.2,64,0.8135
GRU,fine,128,2,0.001,0.3,32,0.8415
GRU,fine,128,2,0.001,0.3,64,0.8222
GRU,fine,128,2,0.0005,0.0,32,0.8423
GRU,fine,128,2,0.0005,0.0,64,0.8192
GRU,fine,128,2,0.0005,0.2,32,0.8201
GRU,fine,128,2,0.0005,0.2,64,0.8265
GRU,fine,128,2,0.0005,0.3,32,0.8353
GRU,fine,128,2,0.0005,0.3,64,0.8329
GRU,fine,128,2,0.0001,0.0,32,0.8291
GRU,fine,128,2,0.0001,0.0,64,0.82
GRU,fine,128,2,0.0001,0.2,32,0.8111
GRU,fine,128,2,0.0001,0.2,64,0.7954
GRU,fine,128,2,0.0001,0.3,32,0.8344
GRU,fine,128,2,0.0001,0.3,64,0.8087
CNN_LSTM,fine,64,1,0.001,0.0,32,0.8029
CNN_LSTM,fine,64,1,0.001,0.0,64,0.7799
CNN_LSTM,fine,64,1,0.001,0.2,32,0.809
CNN_LSTM,fine,64,1,0.001,0.2,64,0.7976
CNN_LSTM,fine,64,1,0.001,0.3,32,0.7396
CNN_LSTM,fine,64,1,0.001,0.3,64,0.783
CNN_LSTM,fine,64,1,0.0005,0.0,32,0.8027
CNN_LSTM,fine,64,1,0.0005,0.0,64,0.745
CNN_LSTM,fine,64,1,0.0005,0.2,32,0.7454
CNN_LSTM,fine,64,1,0.0005,0.2,64,0.7088
CNN_LSTM,fine,64,1,0.0005,0.3,32,0.8032
CNN_LSTM,fine,64,1,0.0005,0.3,64,0.7662
CNN_LSTM,fine,64,1,0.0001,0.0,32,0.6965
CNN_LSTM,fine,64,1,0.0001,0.0,64,0.6815
CNN_LSTM,fine,64,1,0.0001,0.2,32,0.7046
CNN_LSTM,fine,64,1,0.0001,0.2,64,0.6848
CNN_LSTM,fine,64,1,0.0001,0.3,32,0.6456
CNN_LSTM,fine,64,1,0.0001,0.3,64,0.6536
